"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 12 18:34:32 CST 2020","Thu Nov 12 18:34:32 CST 2020","10","","test_UserManage","TestUserManage","","","新增用户",""
"passed","Thu Nov 12 18:34:32 CST 2020","Thu Nov 12 18:34:32 CST 2020","8","","test_UserManage","TestUserManage","","","test_add_user01[2-/api/v1/users-{""password"":""55555"",""password_confirm"":""88888888"",""username"":""001""}-{""code"": 500, ""msg"": ""Key: userAddRequest.password Error:Field validation for password failed on the min tag""}]",""
"passed","Thu Nov 12 18:34:32 CST 2020","Thu Nov 12 18:34:32 CST 2020","10","","test_UserManage","TestUserManage","","","新增用户",""
"passed","Thu Nov 12 18:34:32 CST 2020","Thu Nov 12 18:34:32 CST 2020","10","","test_UserManage","TestUserManage","","","新增用户",""
"passed","Thu Nov 12 18:34:32 CST 2020","Thu Nov 12 18:34:32 CST 2020","9","","test_UserManage","TestUserManage","","","test_add_user01[1-/api/v1/users-{""password"":"""",""password_confirm"": ""88888888"",""username"":""001""}-{""code"":500,""msg"":""userAddRequestpasswordError:Field validation for passwordfailed on therequiredtag""}]",""
"passed","Thu Nov 12 18:34:32 CST 2020","Thu Nov 12 18:34:32 CST 2020","8","","test_UserManage","TestUserManage","","","新增用户",""
"passed","Thu Nov 12 18:34:31 CST 2020","Thu Nov 12 18:34:31 CST 2020","0","","test_Alarm","TestAlarm","","","test_001",""
